Degree of Hearing Loss,Sign supported speech,Speech,aural,kinesthetic,read/write,visual,Captions/subtitle,ISL and Voice,ISL only,Transcripts,Voice Only
Profound,1,0,0,1,0,1,1,0,1,1,0
Moderate,0,1,1,1,0,1,0,0,0,1,1
Profound,0,0,0,1,0,1,1,0,1,1,0
Profound,0,0,0,1,1,1,1,0,1,1,0
Profound,1,0,0,0,1,1,1,1,0,1,0
Profound,0,0,0,1,0,1,1,1,0,1,0
Profound,0,0,0,1,0,1,1,0,1,1,0
Mild,0,1,1,0,1,1,1,0,0,1,1
Mild,0,1,1,1,0,1,1,1,0,1,0
Severe,0,0,0,1,0,1,1,0,1,1,0
Profound,0,0,0,1,0,1,1,0,1,1,0
Moderate,0,0,0,1,0,1,1,0,1,1,0
Profound,1,0,0,1,0,1,1,1,0,1,0
Severe,0,0,0,1,0,1,1,0,1,1,0
Profound,0,0,0,1,0,1,1,0,0,1,0
Moderate,1,0,0,1,0,1,1,1,0,1,0
Profound,1,0,1,0,1,1,1,1,0,1,0
Profound,1,0,1,0,1,1,1,1,0,1,0
Moderate,1,0,1,1,0,1,1,1,0,1,0
Profound,1,0,1,0,1,1,1,1,0,1,0
Moderate,1,0,1,0,1,1,1,1,0,1,0
Moderate,1,0,1,1,1,1,1,1,0,1,0
Profound,1,0,1,1,1,1,1,1,0,1,0
Profound,1,0,1,1,1,1,1,1,0,1,0
Moderate,1,0,1,0,1,1,1,1,0,1,0
Severe,1,0,1,0,1,1,1,1,0,1,0
Severe,1,0,1,0,1,1,1,1,0,1,0
Moderate,1,0,1,0,1,1,1,1,0,1,0
Profound,1,0,1,0,1,1,1,1,0,1,0
Moderate,0,1,1,0,0,1,1,0,0,0,0
Moderate,0,0,0,1,1,1,1,0,1,1,0
Severe,0,0,0,1,0,1,1,0,1,1,0
Moderate,0,1,1,0,0,1,0,0,0,0,1
Moderate,1,0,1,1,0,1,1,1,0,0,1
Severe,1,0,0,1,0,1,1,1,0,0,0
Moderate,1,0,1,1,1,1,1,1,0,1,0
Profound,1,0,0,1,1,1,1,1,0,1,0
Moderate,0,1,0,1,1,1,0,0,0,1,1
