LearnerID,Lip Reading Proficiency,Sign supported speech,Speech,auditory,kinesthetic,read/write,visual,Captions/subtitle,ISL and Voice,ISL only,Transcripts,Voice Only
31,0.6000000000000001,0.0,0.0,0,1,1,1,0,1,0,0,0
101,1.0,0.0,1.0,1,0,0,1,1,1,0,0,0
96,0.6000000000000001,0.0,1.0,1,0,0,1,1,1,1,0,0
81,0.6000000000000001,1.0,0.0,1,0,0,1,0,1,0,0,1
43,0.8,1.0,0.0,0,0,1,1,1,1,1,0,0
41,1.0,1.0,0.0,1,1,0,1,0,1,1,0,0
267,0.6000000000000001,1.0,0.0,1,1,0,1,1,1,0,1,0
79,0.6000000000000001,1.0,0.0,1,1,0,1,1,1,0,0,0
11,0.6000000000000001,0.0,0.0,0,0,1,1,1,1,1,0,0
1,0.0,0.0,0.0,0,0,1,1,1,0,1,0,0
19,0.0,0.0,0.0,0,1,1,1,0,0,1,0,0
32,0.8,1.0,0.0,0,1,1,1,0,1,0,1,0
274,0.6000000000000001,0.0,0.0,1,1,0,0,0,0,1,0,0
262,0.6000000000000001,1.0,0.0,1,1,0,1,1,1,0,1,0
253,0.6000000000000001,1.0,0.0,1,1,0,1,1,1,0,1,0
5,0.6000000000000001,1.0,0.0,0,1,1,1,0,1,0,0,0
256,0.6000000000000001,1.0,0.0,1,1,0,1,1,1,0,1,0
34,0.6000000000000001,1.0,0.0,0,0,1,1,1,1,1,0,0
13,0.6000000000000001,1.0,0.0,0,1,1,1,1,1,1,0,0
27,0.0,1.0,0.0,1,1,0,1,0,1,0,0,0
277,0.6000000000000001,1.0,0.0,1,1,0,0,1,1,0,1,0
87,0.0,0.0,0.0,0,0,1,1,1,0,1,0,0
23,0.6000000000000001,1.0,0.0,0,1,1,1,0,0,1,0,0
102,0.0,0.0,1.0,0,0,1,1,1,0,0,0,1
52,0.8,1.0,0.0,1,1,0,0,0,0,0,0,1
275,0.6000000000000001,0.0,0.0,1,1,0,0,1,1,0,1,0
16,0.6000000000000001,0.0,0.0,0,0,1,1,1,1,1,0,0
250,0.0,0.0,0.0,0,0,0,1,1,1,0,1,0
